"date","purpleair_pm2.5","PA_pm2_5a","PA_pm2_5b","avg_temp","max_temp","min_temp","RH","dewpoint","embassy_pm2.5"
2020-03-02 13:00:00,20.626597595078,21.3818181818182,20.8568181818182,38.2323232323232,40,35.5555555555556,45.5454545454545,24.3434343434343,38
2020-03-02 14:00:00,30.3758452458712,32.1543333333333,31.1633333333333,38.6111111111111,39.4444444444444,37.7777777777778,45.1333333333333,24.537037037037,47
2020-03-02 15:00:00,19.1198943920424,19.9363333333333,19.3053333333333,38.3888888888889,39.4444444444444,37.2222222222222,46.6333333333333,24.8333333333333,36
2020-03-02 16:00:00,20.5577820490645,21.435,20.769,37.1296296296296,37.7777777777778,36.1111111111111,50.3666666666667,24.9814814814815,34
2020-03-02 17:00:00,22.2664683942205,23.3766666666667,22.6386666666667,34.9074074074074,36.6666666666667,33.3333333333333,56.5666666666667,24.7962962962963,35
2020-03-02 18:00:00,24.3667771181874,25.4961290322581,24.8083870967742,32.9569892473118,33.8888888888889,31.1111111111111,62.6451612903226,24.6953405017921,38
2020-03-02 19:00:00,33.6907213498918,34.9156666666667,34.606,32.537037037037,32.7777777777778,31.6666666666667,64.3333333333333,24.7592592592593,41
2020-03-02 20:00:00,26.8910240637395,27.5996666666667,27.534,32.2037037037037,32.7777777777778,31.1111111111111,64.5333333333333,24.5555555555556,41
2020-03-02 21:00:00,28.159415294867,29.644,28.9133333333333,31.9814814814815,32.2222222222222,31.6666666666667,65.2333333333333,24.5,41
2020-03-02 22:00:00,53.4840731785575,56.6806666666667,54.9926666666667,31.7962962962963,32.2222222222222,31.1111111111111,59,22.6851851851852,55
2020-03-02 23:00:00,42.8535489057217,44.774,44.274,32.1851851851852,32.2222222222222,31.1111111111111,54.6,21.8148148148148,47
2020-03-03 00:00:00,56.4846488444393,58.9076666666667,58.2336666666667,32.2037037037037,32.2222222222222,31.6666666666667,55.1666666666667,21.9074074074074,61
2020-03-03 01:00:00,71.5630091288341,75.184,73.62,31.6666666666667,31.6666666666667,31.6666666666667,56.4666666666667,21.7407407407407,65
2020-03-03 02:00:00,58.3003985444838,61.4466666666667,60.317,31.9259259259259,32.2222222222222,31.6666666666667,58.2333333333333,22.6111111111111,54
2020-03-03 03:00:00,60.2859098526202,64.202,62.2076666666667,31.5925925925926,32.2222222222222,31.1111111111111,59,22.4814814814815,54
2020-03-03 04:00:00,49.1616792685906,51.9506666666667,50.8566666666667,31.3888888888889,31.6666666666667,31.1111111111111,60.1,22.5185185185185,49
2020-03-03 05:00:00,44.5899690693759,47.36,46.1203333333333,31.0925925925926,31.6666666666667,30.5555555555556,61.8666666666667,22.7592592592593,49
2020-03-03 06:00:00,55.8773860739435,58.84,57.9116666666667,31.3148148148148,31.6666666666667,31.1111111111111,62.7333333333333,23.2037037037037,49
2020-03-03 07:00:00,73.2683611854096,76.5477419354839,75.1558064516129,31.6666666666667,31.6666666666667,31.6666666666667,64.2903225806452,23.8888888888889,66
2020-03-03 08:00:00,48.3124858703237,50.9826666666667,49.8343333333333,32.537037037037,33.3333333333333,31.6666666666667,63.1,24.4444444444444,54
2020-03-03 09:00:00,29.2766488408216,30.3396666666667,30.0316666666667,35.4259259259259,36.6666666666667,33.3333333333333,53.7333333333333,24.462962962963,43
2020-03-03 10:00:00,21.9372048830681,22.3013333333333,22.2486666666667,37.0740740740741,38.3333333333333,34.4444444444444,47.5333333333333,24,40
2020-03-03 11:00:00,21.2034778686086,22.0026666666667,21.3573333333333,39.2592592592593,40.5555555555556,35.5555555555556,42.5,24.0555555555556,39
2020-03-03 12:00:00,20.7781111204853,21.575,21.0126666666667,40.8703703703704,41.6666666666667,38.3333333333333,37.6,23.537037037037,40
2020-03-03 13:00:00,25.346636527446,25.7756666666667,25.8486666666667,35.0740740740741,39.4444444444444,26.1111111111111,48.4666666666667,22.1296296296296,47
2020-03-03 14:00:00,27.9296194378866,29.2996666666667,28.5783333333333,27.6851851851852,28.3333333333333,25.5555555555556,70.6333333333333,21.6666666666667,26
2020-03-03 15:00:00,27.0177021201501,27.4573333333333,27.7026666666667,28.4814814814815,28.8888888888889,27.7777777777778,68.3,21.8703703703704,29
2020-03-03 16:00:00,29.6973058673775,31.1403333333333,30.6283333333333,28.962962962963,29.4444444444444,27.2222222222222,64.6333333333333,21.4814814814815,31
2020-03-03 17:00:00,37.704169839915,39.055,38.922,29.2222222222222,29.4444444444444,28.8888888888889,63.3,21.3703703703704,37
2020-03-03 18:00:00,89.3802047619048,92.891,91.009,29.7222222222222,30,28.8888888888889,62.3,21.5740740740741,64
2020-03-03 19:00:00,69.6053084299213,73.1616129032258,71.2412903225806,29.336917562724,29.4444444444444,28.8888888888889,64.4516129032258,21.8637992831541,55
2020-03-03 20:00:00,58.5642450605423,61.6283333333333,60.3063333333333,28.9259259259259,29.4444444444444,27.7777777777778,65.7,21.6666666666667,44
2020-03-03 21:00:00,50.8603525873243,53.721,52.462,29.0925925925926,29.4444444444444,28.8888888888889,64.6333333333333,21.5925925925926,39
2020-03-03 22:00:00,57.8712423621499,60.2883333333333,59.7483333333333,29.3703703703704,29.4444444444444,28.8888888888889,64.2,21.7222222222222,42
2020-03-03 23:00:00,57.7368658840944,59.91,59.44,29.7037037037037,30,29.4444444444444,63.1666666666667,21.8518518518519,44
2020-03-04 00:00:00,62.3999556527079,65.798,64.8546666666667,29.3703703703704,29.4444444444444,28.3333333333333,64.7666666666667,21.9444444444444,44
