"date","purpleair_pm2.5","PA_pm2_5a","PA_pm2_5b","avg_temp","max_temp","min_temp","RH","dewpoint","embassy_pm2.5"
2020-03-02,31.8007305646118,33.2677053824363,32.5801983002833,34.3374252439408,40,31.1111111111111,56.0651558073654,24.0289581366069,48.3333333333333
2020-03-03,47.9264836243143,50.1876315789474,49.2920498614958,31.6951369652201,41.6666666666667,25.5555555555556,59.6675900277008,22.5192366882118,46.7083333333333
2020-03-04,39.2707967740384,40.6523545706371,39.875,33.4256694367498,41.1111111111111,26.6666666666667,55.2548476454294,22.7431517389966,32.2916666666667
2020-03-05,30.8453053618031,32.181620498615,31.5803185595568,34.0143120960295,41.6666666666667,29.4444444444444,56.2908587257618,23.6080332409972,32.5833333333333
2020-03-06,47.3189894280515,48.7976038781163,47.802216066482,32.8601108033241,40,28.8888888888889,55.8268698060942,22.6146506617421,45.4583333333333
2020-03-07,18.5841501289321,19.0642936288089,18.8403185595568,34.0081563558018,41.1111111111111,28.8888888888889,55.0706371191136,23.2610033856571,24.2083333333333
2020-03-08,15.9902445198069,16.4709972299169,16.1703739612188,34.378270236996,41.6666666666667,30.5555555555556,53.7008310249307,23.1563558017852,18.0416666666667
2020-03-09,13.1825814746628,13.651012482663,13.3092926490985,34.3096008629989,41.6666666666667,28.8888888888889,55.2191400832178,23.5452303898906,15.1666666666667
2020-03-10,23.7219189099933,24.7291111111111,24.1771944444444,34.0586419753086,41.1111111111111,29.4444444444444,56.1416666666667,23.5632716049383,22.75
2020-03-11,23.3955822940485,24.3324791086351,23.806295264624,32.9286598576292,41.1111111111111,26.1111111111111,57.2395543175487,22.9008047044259,23.8695652173913
2020-03-12,24.3669068908789,25.3210416666667,24.8366666666667,33.1898148148148,41.6666666666667,26.6666666666667,56.0569444444444,22.7067901234568,25
2020-03-13,21.7272389884014,22.4399583911234,22.0523578363384,34.1377716134998,41.1111111111111,29.4444444444444,58.2274618585298,24.2618277084297,23.75
2020-03-14,30.3608611673485,31.6605,31.1230138888889,33.7623456790123,42.7777777777778,28.8888888888889,57.1458333333333,23.6018518518519,33.2916666666667
2020-03-15,25.244504816212,26.2288781163435,25.7996952908587,33.3910433979686,40.5555555555556,27.2222222222222,55.6662049861496,22.7169898430286,24.875
2020-03-16,21.5725185427039,22.3126454293629,21.9254847645429,33.44567559249,41.1111111111111,27.2222222222222,56.0013850415512,22.8831948291782,25.75
2020-03-17,23.0673943238792,23.9365096952909,23.4664958448753,33.1748230224685,41.1111111111111,28.3333333333333,58.0152354570637,23.2787011388119,28.75
2020-03-18,28.4606111385709,29.3656865464632,28.9482385575589,32.8486669748806,40.5555555555556,28.3333333333333,58.3065187239945,23.0513176144244,35.25
2020-03-19,23.6836750083158,24.4394313453537,24.0026352288488,32.2391739867468,39.4444444444444,28.3333333333333,60.9278779472954,23.403451995685,29.4166666666667
2020-03-20,30.3270099713956,31.4070083102493,31.0414127423823,32.8362573099415,40,28.8888888888889,59.909972299169,23.6195752539243,32.75
2020-03-21,20.8070976615396,21.3343550624133,21.1912205270458,33.7563569116967,41.1111111111111,28.8888888888889,56.8821081830791,23.390352904916,21.2916666666667
2020-03-22,20.2616716936862,20.8529085872576,20.6155263157895,33.4418282548476,40.5555555555556,28.3333333333333,57.6620498614958,23.4664512157587,22.9583333333333
2020-03-23,23.7502794139823,24.4730332409972,24.1328254847645,31.5320098491844,35,27.7777777777778,60.8116343490305,22.8285626346568,27.1666666666667
2020-03-24,20.2099436613133,20.504160887656,20.5169902912621,29.0206503313299,34.4444444444444,25,65.2024965325936,21.5780551702882,22.5416666666667
2020-03-25,19.6115600197156,19.969404432133,19.7886842105263,30.5432440751,37.7777777777778,25.5555555555556,57.2340720221607,20.6355801785165,21.2916666666667
2020-03-26,13.6557800614076,13.8248127600555,13.7750901525659,32.6136538757898,40.5555555555556,26.6666666666667,54.6754507628294,21.6212051163507,16.4583333333333
2020-03-27,25.2091334515522,25.8148614958449,25.6372022160665,32.3861188057864,41.6666666666667,28.8888888888889,58.0581717451524,22.5123114804555,21.0416666666667
2020-03-28,32.3609892201088,33.0865,32.9080972222222,33.3186728395062,41.6666666666667,28.3333333333333,55.8013888888889,22.6126543209877,26.9166666666667
2020-03-29,27.3375681755053,28.0452493074792,27.7587811634349,32.8385657125269,42.2222222222222,27.7777777777778,58.1481994459834,22.9809172052939,23.4166666666667
2020-03-30,16.1696897394574,16.6500416088766,16.4229819694868,32.7508090614887,41.1111111111111,28.3333333333333,57.375866851595,22.5920789027585,19.9583333333333
2020-03-31,11.168620631526,11.2701662049862,11.2262742382271,33.1732840874115,40,27.7777777777778,57.8601108033241,23.1548168667282,15.375
2020-04-01,20.1800654113124,20.5935367545076,20.533120665742,31.0818307905687,37.2222222222222,27.2222222222222,61.4798890429958,22.5319771921714,24.5833333333333
2020-04-02,18.8882427902353,19.4656786703601,19.2524238227147,33.1902123730379,41.1111111111111,26.1111111111111,51.7825484764543,21.1611265004617,24.8333333333333
2020-04-03,16.9313419858557,17.2621081830791,17.1895145631068,32.5142548928957,39.4444444444444,28.3333333333333,59.624133148405,23.1823085221143,25.75
2020-04-04,14.0554262600597,14.2073231622746,14.155145631068,31.7367853290183,39.4444444444444,27.7777777777778,57.0429958391123,21.7922638310988,19.4166666666667
2020-04-05,15.6357000698209,15.9161218836565,15.7979362880886,33.8888888888889,43.3333333333333,26.1111111111111,52.2659279778393,21.8921206525085,20.5833333333333
